iso_code,amusementparks,nightlife,beaches,camping,exploringnature,eatingout,museums,showstheatresandmusic,wellness,zoos
OMN,4.1383688431011345,4.463903654756969,5.913003597255756,3.3549764630055434,7.545328972945971,6.588047540105006,7.76753307040942,3.813293642555584,1.789732362426975,5.373094156512486
PAK,6.044779346976975,5.823666998084687,5.261216535633441,0.8843005516954292,8.464260685857,6.735100331778919,8.393284461430218,4.839526703359213,0.5466651449336282,7.949601890105489
PAN,4.806358098089766,6.083719409289853,7.472080860367822,2.85487444561028,7.118694941729421,7.033618598168176,7.347191502427155,5.203455099274101,1.7251504659888135,6.873467545249742
PRY,3.729116402004218,6.258468882932249,5.428357762111413,2.577866331998774,7.232348793188341,6.246449218122775,7.746679744373827,5.174885297306081,0.9521941011993268,5.481163612381164
PER,6.150742836842034,6.834826412505588,7.353958715452273,5.807141713101747,8.420914290324419,7.656215428592957,8.77067250976458,6.957487978331245,5.772927150634792,5.942884410830173
PHL,7.920195058686248,7.769350123173665,8.773138577346547,6.020328809167599,8.999526268951332,7.502925106727512,8.788781923093914,7.418110622417858,6.159154742405782,7.769151724257421
POL,7.255890245619416,8.043513580639518,7.331858356557561,6.340514228389138,8.878243162633725,7.627447081254311,9.841739887762188,8.447389728801165,6.388622799601942,9.216936832139076
PRT,6.6650367374766235,7.815847244683951,8.474048555882598,6.1016112138826575,8.475672289716222,7.771396958241316,9.597611487740126,7.873526522685635,5.914706536643338,6.883550477663407
QAT,4.786876191345103,5.00024655908052,3.0844438382652704,0.7736101161905005,4.995398891788894,6.235729242619069,7.510081551299089,3.743621960452098,2.3231026338891216,5.568719735093461
ROU,6.434532517187051,7.774157799574533,7.0164042020489825,5.798333164258779,9.283783842105866,7.429748517948568,9.368233923056216,8.02635464078489,2.876559538874406,6.601989436344206
RUS,7.418228504347975,8.050952632476086,7.51536321386925,5.600896323360148,9.36449745104671,7.601044575628589,9.817019674899068,8.646607740511163,6.22401926463729,8.313571342306773
RWA,0.0,4.699141379666191,3.490102136270427,1.2264392809841096,6.675972866063256,5.869876920849532,6.874685500172769,2.998324551417922,5.479438455118845,4.558110297827206
SEN,5.336194295635367,5.316367765206341,6.343012739928478,2.758921576990674,5.236119751907036,6.008531628015573,7.962384603219632,3.4170978426792056,0.1661605916520045,6.213642395138429
SRB,5.048949410268779,7.035907028064855,4.874913109754254,4.413128883104943,8.387061454299463,7.090907844086569,9.136679483846567,7.823996188959684,4.680974919569503,6.167196429083473
SYC,0.0,4.665379047253718,7.444175847788471,0.0,5.6117339322012825,6.0622485942746405,4.9770525589503105,6.787318227043741,0.1993668807585371,0.0
SGP,6.658143936503435,7.760906588729006,4.820096141440535,1.429171485898023,7.809068408890113,8.579412806558722,8.654274904245117,6.494408945315563,5.466624508174637,7.254945474423742
